Timestamp,Q1. Which best describes you? ,  Q2. What is your field of study?  ,  Q3. Which degree are you pursuing or have completed?  ,  Q4. Which state are you currently studying in?  ,  Q5. Which of the following skills do you currently have?  ,Q6. Which skill are you currently learning? ,  Q7. Rate your confidence in your technical skills.  ,"  Q8. On average, how many hours do you spend learning each day?  ",  Q9. Which learning platform do you use the most?  ,  Q10. Have you completed any professional certifications?  ,  Q11. Approximately how many certifications have you completed?  ,  Q12. Do you have a resume?  ,  Q13. Do you have a LinkedIn profile?  ,  Q14. Do you have a GitHub portfolio?  ,  Q15. Approximately how many personal or academic projects have you completed?  ,  Q16. Approximately how many jobs or internships have you applied for?  ,  Q17. Approximately how many interviews have you attended?  ,  Q18. How confident are you that you'll get your desired job within the next 6 months?  ,  Q19. Which career are you preparing for?  ,  Q20. What is your expected salary for your first full-time job?  ,  Q21. What do you think is your biggest challenge in getting a job?  ,  Q22. Which area would you most like to improve?  ,  Q23. How satisfied are you with your current career preparation?  ,  Q24. Would you recommend your current learning approach to another student?  ,"  Q25. Any additional questions, comments or suggestions?  "
6/26/2026 13:32:28,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"SQL, Power BI, Python, Java, Web Development, Data Analysis, Digital Marketing, Ai Tools","MS Excel, Cloud Computing",4,2–4 hours,YouTube,Yes,1-2,Yes,Yes,Yes,1-2,1-20,1-2,3,Data Analyst,₹5–8 LPA,Communication Skills,Communication Skills,3,Yes,Skill development
6/26/2026 21:08:55,3rd Year Student,Engineering,Bachelor's Degree,Telangana,"Python, Web Development","Python, Web Development",3,Less than 1 hour,Other,No,3-5,Yes,Yes,Yes,1-2,1-20,0,3,Web Developer,₹8–12 LPA,Lack of Technical Skills,Technical Skills,2,No,No
6/26/2026 21:10:24,3rd Year Student,Engineering,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI, Python, Web Development, Data Analysis, Ai Tools","MS Excel, SQL, Power BI, Python, Web Development, Data Analysis, Ai Tools",4,1–2 hours,YouTube,No,0,Yes,Yes,Yes,3-5,1-20,3-5,3,Data Analyst,₹8–12 LPA,Limited Job Opportunities,Certifications,3,Maybe,No
6/26/2026 21:11:13,3rd Year Student,Engineering,Bachelor's Degree,Andhra Pradesh,"SQL, Python, Java","Web Development, Data Analysis, Ai Tools",3,2–4 hours,YouTube,No,0,Yes,Yes,No,1-2,1-20,1-2,1,AI / Machine Learning,Above ₹12 LPA,Communication Skills,Communication Skills,3,Maybe,Suggest some part time jobs for students
6/26/2026 21:12:09,2nd Year Student,Engineering,Bachelor's Degree,Telangana,"MS Excel, SQL, Python, C++, Web Development, Data Analysis","SQL, Ai Tools",2,Less than 1 hour,YouTube,Yes,1-2,Yes,Yes,Yes,3-5,1-20,1-2,3,Other,₹8–12 LPA,Lack of Technical Skills,Technical Skills,2,Maybe,Good Luck On Your Research !
6/26/2026 21:12:40,1st Year Student,Engineering,Bachelor's Degree,Telangana,"SQL, Python, Web Development, Ai Tools","Java, Web Development",4,More than 6 hours,YouTube,Yes,1-2,No,Yes,Yes,3-5,0,0,1,AI / Machine Learning,Above ₹12 LPA,Lack of Technical Skills,Interview Preparation,2,Maybe,Can I actually get some guidance based on my responses 
6/26/2026 21:15:19,Final Year Student,Engineering,Bachelor's Degree,Telangana,"SQL, Python, Java, Web Development, Data Analysis, Ai Tools",None,4,2–4 hours,YouTube,Yes,More than 5,Yes,Yes,Yes,More than 5,1-20,1-2,4,AI / Machine Learning,₹8–12 LPA,Limited Job Opportunities,Interview Preparation,3,Maybe,na
6/26/2026 21:17:12,3rd Year Student,Engineering,Bachelor's Degree,Telangana,"C++, Web Development, Ai Tools","Web Development, Data Analysis, Cloud Computing",3,4–6 hours,YouTube,Yes,More than 5,Yes,Yes,Yes,1-2,1-20,0,2,Web Developer,₹8–12 LPA,Interview Preparation,Resume Building,2,Maybe,None
6/26/2026 21:17:53,Recent Graduate,Engineering,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI, Data Analysis, Digital Marketing, Ai Tools","Python, Web Development, Digital Marketing, Ai Tools, Cloud Computing",3,Less than 1 hour,YouTube,No,0,Yes,Yes,Yes,3-5,21-50,3-5,2,Digital Marketing,₹5–8 LPA,Interview Preparation,Technical Skills,2,No,no
6/26/2026 21:19:25,Final Year Student,Engineering,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI, Python, Web Development, Ai Tools","Java, Cloud Computing",5,Less than 1 hour,YouTube,No,1-2,Yes,Yes,Yes,3-5,0,0,3,AI / Machine Learning,₹8–12 LPA,Lack of Technical Skills,Technical Skills,2,No,Bo
6/26/2026 21:24:02,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"MS Excel, Power BI",SQL,3,1–2 hours,YouTube,No,1-2,Yes,Yes,No,1-2,1-20,3-5,3,Data Analyst,₹5–8 LPA,Limited Job Opportunities,Technical Skills,3,Yes,No
6/26/2026 21:24:13,3rd Year Student,Science,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI, Python, Data Analysis, Ai Tools",None,3,2–4 hours,YouTube,Yes,1-2,Yes,Yes,Yes,3-5,1-20,0,3,AI / Machine Learning,₹5–8 LPA,Limited Job Opportunities,Interview Preparation,4,Maybe,..
6/26/2026 21:27:39,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI","MS Excel, SQL, Power BI",4,2–4 hours,YouTube,Yes,1-2,Yes,Yes,No,0,0,1-2,5,Data Analyst,₹5–8 LPA,Lack of Projects,Personal Projects,4,Maybe,Nothing 
6/26/2026 21:27:49,3rd Year Student,Commerce,Bachelor's Degree,Telangana,"SQL, C++, Web Development, Data Analysis","SQL, Data Analysis",3,2–4 hours,YouTube,No,0,Yes,Yes,No,1-2,0,1-2,5,Data Analyst,₹5–8 LPA,Lack of Technical Skills,Communication Skills,2,Maybe,You will get ready soon
